Slot	P(honest > adversary)	P(adversary >= honest)
1	4.7438621223469715e-2	0.9525613787765302
2	9.239536108283945e-2	0.9076046389171604
3	0.1350107637450336	0.8649892362549663
4	0.17541693986243181	0.8245830601375678
5	0.21373809335612082	0.7862619066438787
6	0.2500910143820277	0.7499089856179721
7	0.2845855406922287	0.7154144593077708
8	0.3173249894570455	0.6826750105429539
9	0.3484065614766823	0.6515934385233171
10	0.3779217195834542	0.6220782804165452
11	0.4059565429165054	0.5940434570834943
12	0.4325920586397119	0.567407941360287
13	0.4579045525697128	0.5420954474302867
14	0.4819658600841639	0.5180341399158352
15	0.5048436385899521	0.495156361410047
16	0.526601622746745	0.47339837725325395
17	0.5472998635625402	0.4527001364374588
18	0.5669949524043975	0.43300504759560177
19	0.5857402308989419	0.41425976910105744
20	0.6035859876332109	0.39641401236678836
